variant,canonical,source
乘,乗,kJapaneseNewVariant
亂,乱,kJapaneseNewVariant
亞,亜,kJapaneseNewVariant
佛,仏,kJapaneseNewVariant
來,来,kJapaneseNewVariant
倂,併,kJapaneseNewVariant
假,仮,kJapaneseNewVariant
傳,伝,kJapaneseNewVariant
僞,偽,kJapaneseNewVariant
價,価,kJapaneseNewVariant
儉,倹,kJapaneseNewVariant
兒,児,kJapaneseNewVariant
兩,両,kJapaneseNewVariant
剩,剰,kJapaneseNewVariant
劍,剣,kJapaneseNewVariant
劑,剤,kJapaneseNewVariant
勞,労,kJapaneseNewVariant
勳,勲,kJapaneseNewVariant
勵,励,kJapaneseNewVariant
勸,勧,kJapaneseNewVariant
區,区,kJapaneseNewVariant
卷,巻,kJapaneseNewVariant
卽,即,kJapaneseNewVariant
參,参,kJapaneseNewVariant
單,単,kJapaneseNewVariant
嚴,厳,kJapaneseNewVariant
囑,嘱,kJapaneseNewVariant
圈,圏,kJapaneseNewVariant
國,国,kJapaneseNewVariant
圍,囲,kJapaneseNewVariant
圓,円,kJapaneseNewVariant
圖,図,kJapaneseNewVariant
團,団,kJapaneseNewVariant
增,増,kJapaneseNewVariant
墮,堕,kJapaneseNewVariant
壓,圧,kJapaneseNewVariant
壘,塁,kJapaneseNewVariant
壞,壊,kJapaneseNewVariant
壤,壌,kJapaneseNewVariant
壯,壮,kJapaneseNewVariant
壹,壱,kJapaneseNewVariant
壽,寿,kJapaneseNewVariant
奧,奥,kJapaneseNewVariant
奬,奨,kJapaneseNewVariant
孃,嬢,kJapaneseNewVariant
學,学,kJapaneseNewVariant
寢,寝,kJapaneseNewVariant
實,実,kJapaneseNewVariant
寫,写,kJapaneseNewVariant
寬,寛,kJapaneseNewVariant
寶,宝,kJapaneseNewVariant
將,将,kJapaneseNewVariant
專,専,kJapaneseNewVariant
對,対,kJapaneseNewVariant
屆,届,kJapaneseNewVariant
屬,属,kJapaneseNewVariant
峽,峡,kJapaneseNewVariant
嵜,崎,manual
嶽,岳,kJapaneseNewVariant
巢,巣,kJapaneseNewVariant
帶,帯,kJapaneseNewVariant
廢,廃,kJapaneseNewVariant
廣,広,kJapaneseNewVariant
廳,庁,kJapaneseNewVariant
彈,弾,kJapaneseNewVariant
彌,弥,kJapaneseNewVariant
徑,径,kJapaneseNewVariant
從,従,kJapaneseNewVariant
徵,徴,kJapaneseNewVariant
德,徳,kJapaneseNewVariant
恆,恒,kJapaneseNewVariant
惠,恵,kJapaneseNewVariant
惡,悪,kJapaneseNewVariant
惱,悩,kJapaneseNewVariant
愼,慎,kJapaneseNewVariant
慘,惨,kJapaneseNewVariant
應,応,kJapaneseNewVariant
懷,懐,kJapaneseNewVariant
戀,恋,kJapaneseNewVariant
戰,戦,kJapaneseNewVariant
戲,戯,kJapaneseNewVariant
戾,戻,kJapaneseNewVariant
拂,払,kJapaneseNewVariant
拔,抜,kJapaneseNewVariant
拜,拝,kJapaneseNewVariant
挾,挟,kJapaneseNewVariant
插,挿,kJapaneseNewVariant
揭,掲,kJapaneseNewVariant
搖,揺,kJapaneseNewVariant
搜,捜,kJapaneseNewVariant
擇,択,kJapaneseNewVariant
擊,撃,kJapaneseNewVariant
擔,担,kJapaneseNewVariant
據,拠,kJapaneseNewVariant
擧,挙,kJapaneseNewVariant
擴,拡,kJapaneseNewVariant
攝,摂,kJapaneseNewVariant
收,収,kJapaneseNewVariant
效,効,kJapaneseNewVariant
敍,叙,kJapaneseNewVariant
敕,勅,kJapaneseNewVariant
數,数,kJapaneseNewVariant
斷,断,kJapaneseNewVariant
晚,晩,kJapaneseNewVariant
晝,昼,kJapaneseNewVariant
曆,暦,kJapaneseNewVariant
曉,暁,kJapaneseNewVariant
曾,曽,kJapaneseNewVariant
會,会,kJapaneseNewVariant
條,条,kJapaneseNewVariant
棧,桟,kJapaneseNewVariant
榮,栄,kJapaneseNewVariant
槪,概,kJapaneseNewVariant
樂,楽,kJapaneseNewVariant
樓,楼,kJapaneseNewVariant
樞,枢,kJapaneseNewVariant
樣,様,kJapaneseNewVariant
橫,横,kJapaneseNewVariant
檢,検,kJapaneseNewVariant
櫻,桜,kJapaneseNewVariant
權,権,kJapaneseNewVariant
歐,欧,kJapaneseNewVariant
歡,歓,kJapaneseNewVariant
步,歩,kJapaneseNewVariant
歷,歴,kJapaneseNewVariant
歸,帰,kJapaneseNewVariant
殘,残,kJapaneseNewVariant
殼,殻,kJapaneseNewVariant
毆,殴,kJapaneseNewVariant
每,毎,kJapaneseNewVariant
氣,気,kJapaneseNewVariant
涉,渉,kJapaneseNewVariant
淚,涙,kJapaneseNewVariant
